Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity, Tax Rate Name
PR-NPCNRAD330981,DOOR SEAL FREEZER PANASONIC,C1,box,NA,30.8,46.2,2,GST
PR-NPCNRAD330972,Door Seal Fridge Panasonic,C1,box,NA,37.5,56.25,2,GST
BSH-00680768,DOOR SEAL SIMENS,C1,box,NA,999,999,2,GST
AR-C00033769,DOOR SEALS,C1,box,NA,20.86,44.54,2,GST
FP-521565P,DOOR SPRINGS,C1,box,NA,44.54,44.54,2,GST
PR-NPCNRAD335500,DOOR STOP FRIDGE PANASONIC,C1,box,NA,5.24,7.86,2,GST
DS-398206700,DOOR STRING BLANCO (PKT 2),C1,box,NA,44.54,44.54,2,GST
ED-651068742,DOOR STRINGS BLANCO (PKT 2),C1,box,NA,0,18.18,2,GST
QT-4933ED3002A,DOOR STRINGS LG (SINGLE),C1,box,NA,9,9.09,2,GST
SAM-DA34-10120E,DOOR SWITCH SAMSUNG,C1,box,NA,16,16.36,2,GST
SAM-DA34-10110E,DOOR SWITCH SAMSUNG FRIDGE,C1,box,NA,16,16.36,2,GST
SAM-DC97-0511A,DOORLATCH F/LOADER SAMSUNG,C1,box,NA,27,27.27,2,GST
AS-246650,"DRAIN HOSE, ASKO",C1,box,NA,,,2,GST
,,C1,box,NA,TRUE,ASKO APPLIANCES (AUST) PTY LTD,2,GST
DS-1673000900269,DRAIN HOSE,C1,box,NA,14.99,26.36,2,GST
END-1740160300,Drain Hose,C1,box,NA,22.5,34.54,2,GST
FP-522086,DRAIN HOSE,C1,box,NA,22.8,44.54,2,GST
FP-5227137,DRAIN HOSE,C1,box,NA,35.75,53.63,2,GST
QT-5214FR3188G,Drain Hose,C1,box,NA,11.5,26.36,2,GST
QT-AEM72912602,DRAIN HOSE,C1,box,NA,10.9,26.36,2,GST
SAM-DC64-00561D,DOOR HANDLE SILVER,C1,box,NA,26,26.36,2,GST
QT-HO12G6050032,DOOR MICROSWITCH,C1,box,NA,30,62.72,2,GST
